,Address,FNAME,SNAME,Marital_Status,Postcode,Sex,Resident_Year_Of_Birth,Resident_Age,DOB,Resident_ID
0,"Studio 48
Cooper street, Port Fredericktown",-9,Ross,NAN,CV25 4Z/Y, ,1956,66,06-08-1956,c2026847926404610461
1,"43 Rebecca street, Harveytown",Mrs Darren,Baldwin,Single,-7,Male,2013,9,29-12-2013,c7839596180442651345
2,-9,Mrs Eric,Bibi,Single,PL38 0PR ,Female,2016,6,09-11-2015,c3258728696626565719
3," 7 Noble valley, Lake Simonville",Mark, Kent, , SO2P 9WS,Male,1972,50,28-01-1972,c2287010195568088798
4,"57 Pearson corner, Joannaborough",Mr Grace,Baker,Civil partnership,eh4p 9Rn,Female,1966,56,26-11-1966,c1945351111358374057
5,-9,Mrs Chloe,Chandler,Divorced,G7F 3RE,2,1963,59,11-03-2012,c7831454145019129197
6,"Studio 5
Fuller burgs, New Lindsey",Mr Katie,Der-Anderson,Divorced,G88 6DB,Female,1960,62,15-08-1978,c6030118478018109776
7,"644 Garry walk, Blackburnville",Mrs Denise,King,Divorced,W7- 2TY,F,1981,41,28-11-1981,c6446332115853614978
8,"Studio 73
Clayton mountains, Stevenbury",-9,Der-Barton,-9,LN96 9XA,Male,1947,-9,29-12-2013,c1293143515607798169
9,"Studio 33o8
Hazel river, Adamsstad",Keith,ChapmKan,Single,S0D 9AX,M,2001,21,08-11-2001,c1864186096263678574
10,"8 Grant spurs, South Philip",Mr Kerry,Der-Wood,Single,W3W 5NX,NAN,1986,36,04-07-1986,c3145917995920697483
11," 3 Smith mount, New Frances",Katy,Roberts, ,IG8E 1QR,-7,1993,29,16-01-1986,c6552642720119322321
12,"21 Stephen island, terrymouth",-9,-7, ,L.0 1AF,1,1996,26,26-03-1996,c6176572018665656243
13,"flat 78
Jones Glen, marIonbuRgh",Martyn,carey, ,B48 3PN,Female,1971,51,04-04-1971,c7604115266222097961
14,-9,Glen,Smith,Married,TN67 6JB,1,1973,49,11-10-1973,c7468581141273039753
15,"Flat 2
Oliver corners, Baxterton",-9,ellis,Single,CM6R 8DA,NAN,2017,5,01-03-2017,c4869387381345962230
16,"Studio 6
Dixon bypass, New Marian",Mr Darren,May,SiWngle,CA8P 5UH,1,2011,11,27-05-2002,c5143222138124291040
17,"824 J,effrey roads, Mathewfort",Lauren,West,Single,ST13 2AD,Male,2013,9,04-12-2013,c3565856380474498476
18,"Flat 22
Kennedy keys, Port Valerieland",Mrs Nicholas,Roberts,Civil partnership,E8 5FD,Male,1970,52,29-07-1970,c9017880294935156107
19,"2 Barlow estates, East Clarebury",  Billy,Fleming,married,S9C 7SH,Female,1983,39,24-08-1983,c7998762617471362847
20,"77 victoria crEscent, gRfAHamviLle",Natasha,Baker,NAN, L5 8gg,NAN,2001,21,31-08-2001,c2472597238169086909
21,"5 Nathan plains, Gerardview",Mr Carl,Harding, ,fy12 2qe,Male,1977,45,27-05-1977,c4897929836277613434
22,"196 Carol route, New Neil",Marilyn,Harris-on,Divorced,W9 3SP,2,1997,-9,20-05-1997,c3562910770574305398
23,"Flat 46c
Mitchell street, Marcstad",Tracey,Smith,Civil partnership,G05 0UB, ,1990,32,23-07-1990,c2985918923296309552
24,"Flat 87
Katie meadows, East Hayleyhaven",Sheila,Harvey,NAN,E3 4BB,F,1991,31,21-04-1991,c8041990410826934883
25,"710 hodgson ridge, hIllville",Aimee,Evans,Single,B06 0DT,NAN,2018,-9,17-05-2018,c1942723427174387577
26,"60 Colin road, South Aimee",Scott,Bailey,Single,L21 2GB,Female,2016,-9,31-08-1943,c4504210894617719057
27,"6 Ferguson greens, Williamburgh",Mr Colin,rees,Married,-7,F,1938,84,20-05-1938,c4311000352010168215
28,"6 Riley vista, Goodwinview",Mrs Damian,Griffiths,Si0ngle,M0 9FL,Male,1934,88,05-03-1934,c4172431589140685843
29,"273 Kim circles, West Carl",Mrs Molly,Whittaker,Divorced,RH3R 4NW,F,1994,28,16-11-1994,c3439774329912543747
30,"Studio 25M
Nelson hollow, Bentleychester",Ross,Lee,Single,L8T 0YY,Male,1938,84,05-04-1938,c1400759557860619647
31,"Studio 5
Bates underpass, Lake Albert", Michelle,Der-Henderson, ,W5W 8TA,-9,1936,86,20-06-1936,c5237446567370404816
32,"Flat 59
Patricia path, West Louisefort",Roy,Black,Single,M0G 5WE,F,1970,52,02-04-1970,c2151318126898855557
33,"188 Gail trail, Lake Melissaburgh",-9,Williams,Married,KY2 7RR,Female,1990,32,22-01-1968,c1726803524325187859
34,"Flat 4
Leonard forks, East Samantha",Sharon,Ellis, ,LA9W 0EP,Female,1998,24,26-06-1998,c3704092307918063857
35,"416 Reed burgs, Leestad",Mrs Geraldine,Webb,Single,B1 9SH,-7,2012,10,28-09-2012,c6798178739033726258
36,"Studio 27
Scott light, South George",mrs michAel,Ward,Divorced,R?G6 0JH,Male,-9,58,07-11-1963,c9166850865409773434
37,"Flat 73
Jessica mount, Martinberg",mR7s ann,wAlton,Married,E2C56 4ZS,Female,1946,76,27-12-1946,c4335494386281140929
38,"Flat 92
Brown plains, Robinport",Samuel,Craig,Single,BA46 6SN,Female,1966,56,23-06-1966,c2773549186211207615
39,"3 Rhys turnpike, Robinsonchester","Aim,ee",Robson,Married,w24 1qr,-7,1935,87,17-11-1935,c1641533053211955696
40,"001 Fry street, Francesburgh",Margaret,Kelly,Civil partnership,W69 3TY,Female,1996,26,20-09-1996,c7099077637550581145
41,"Flat 4
Mills crest, New Katherine ",Paul,Murray ,Married, BH23 4LD,-9,1997,25,18-07-1997,c8130296919575202446
42,"1 Fiona lodge, Phillipsport",Mrs Kathryn,Web-b,civil parTnership,G3 9DP,M,1991,31,04-09-1984,c8888913547867799345
43,"Studio 48
Nicola forks, Catherinefort",Lydia,Webb,Civil partnership,-7, ,1952,70,08-06-1952,c8991901255055716088
